date,size_decile_5,signal_decile_5,Cap_VW_return,VW_return,EW_return
2001-01-01,1,1,0.14881633723851265,0.14881633723851265,0.21960831946753465
2001-01-01,1,2,0.14157967774584035,0.14157967774584035,0.237356043095317
2001-01-01,1,3,0.21091044946513132,0.21091044946513132,0.367240124725288
2001-01-01,1,4,0.19515763596230168,0.19515763596230168,0.35179388398824485
2001-01-01,1,5,0.22328022521966454,0.22328022521966454,0.4201631711568302
2001-01-01,2,1,0.10781070281321752,0.10781070281321752,0.19735096023011778
2001-01-01,2,2,0.11053333852153947,0.11053333852153947,0.2059017559078223
2001-01-01,2,3,0.12726337219942535,0.12726337219942535,0.22500354181418505
2001-01-01,2,4,0.1011860015562134,0.1011860015562134,0.2495334121324498
2001-01-01,2,5,0.14880339432484743,0.14880339432484743,0.3339617292316655
2001-01-01,3,1,0.13347514358760704,0.13347514358760704,0.28175921681602273
2001-01-01,3,2,0.10932884355820158,0.10775994088532187,0.24881045539073893
2001-01-01,3,3,0.11070576105423333,0.11070576105423333,0.26363162656399797
2001-01-01,3,4,0.05416462525445666,0.05416462525445666,0.2047845796320099
2001-01-01,3,5,0.09289160499031701,0.09289160499031701,0.21371840342904244
2001-01-01,4,1,0.15593442908835628,0.15593442908835628,0.2735282398489259
2001-01-01,4,2,0.06696893057445624,0.0634607639423604,0.15750154512414782
2001-01-01,4,3,0.07874822951911725,0.07783382743282288,0.16047212885779957
2001-01-01,4,4,0.05800357247927579,0.05721445596393185,0.12229515605955471
2001-01-01,4,5,0.060516097515544695,0.05647475510114562,0.14888995081347275
2001-01-01,5,1,0.20842752683532195,0.11636894295128361,0.26823980742064246
2001-01-01,5,2,0.15791767925682793,0.09556260914822239,0.17603344767191276
2001-01-01,5,3,0.10393374614701784,0.06120317287943909,0.1180114054792182
2001-01-01,5,4,0.07354128232402513,0.04163561949322643,0.10042900520922918
2001-01-01,5,5,0.08682278929828166,0.06685493218092199,0.10530557141583252
2001-02-01,1,1,-0.06567619996087774,-0.06567619996087774,-0.06922648534669498
2001-02-01,1,2,-0.07209051852554921,-0.07209051852554921,-0.07540258002200612
2001-02-01,1,3,-0.06249850103462466,-0.06249850103462466,-0.06955629700478227
2001-02-01,1,4,-0.05465279570675201,-0.05465279570675201,-0.05104162031860245
2001-02-01,1,5,-0.012623298955117225,-0.012623298955117225,-0.023337571563320312
2001-02-01,2,1,-0.05816634066008064,-0.05816634066008064,-0.09296386202087442
2001-02-01,2,2,-0.06582844211222243,-0.06582844211222243,-0.10416155938343429
2001-02-01,2,3,-0.05788232491838595,-0.05788232491838595,-0.07992633770290677
2001-02-01,2,4,-0.06864165962187863,-0.06864165962187863,-0.10043577817761262
2001-02-01,2,5,-0.035755813664507266,-0.035755813664507266,-0.049054737839777145
2001-02-01,3,1,-0.03713130201629505,-0.03713130201629505,-0.13060033902448093
2001-02-01,3,2,-0.10374785384488562,-0.10374785384488562,-0.14685971722182278
